model,task,runs,successes,success_rate,selected_index_mean,selected_index_std,position_error_mean,position_error_std,angle_error_mean_deg,angle_error_std_deg
dual_dinov3,AngledReachCartoonTask,5,4,0.8,53.2,13.311649033834989,0.08186191103198323,0.07218004488646108,17.757557726517916,13.135567440963397
dual_dinov3,AngledReachDrillTask,5,0,0.0,74.0,0.0,0.05556257044572839,0.0057844779277611775,55.954973617478615,1.9303581945130348
dual_dinov3,AngledReachKetchupTask,5,0,0.0,74.0,0.0,0.10713837936663007,0.016301330422089127,15.00865252403691,3.624609996471182
dual_dinov3_roboarena,AngledReachCartoonTask,5,0,0.0,74.0,0.0,0.034965873286927115,0.0017107870214054814,57.06494262208181,3.5619321956857726
dual_dinov3_roboarena,AngledReachDrillTask,5,5,1.0,45.4,3.361547262794322,0.008148314519591467,0.004411068920752046,14.153568854190004,0.40181546478754854
dual_dinov3_roboarena,AngledReachKetchupTask,5,5,1.0,36.0,3.082207001484488,0.02696410042660884,0.007217039386009831,14.568697141289135,0.2882718390376918
dual_vjepa,AngledReachCartoonTask,5,5,1.0,32.6,0.5477225575051661,0.04788811998814918,0.0008318874859801804,9.094504274016348,0.6988748045679112
dual_vjepa,AngledReachDrillTask,5,0,0.0,74.0,0.0,0.03855670800205604,0.004262084602738694,94.43525762271838,0.45282170758138923
dual_vjepa,AngledReachKetchupTask,5,0,0.0,74.0,0.0,0.0670189036318373,0.0026686447070660463,100.5500333316555,0.8642804977894459
ind_dinov3,AngledReachCartoonTask,5,5,1.0,45.2,7.463243262818116,0.048430161429417674,0.0021381115885704682,10.708441935612914,2.556522851464683
ind_dinov3,AngledReachDrillTask,5,5,1.0,57.6,2.701851217221259,0.04951461307257373,0.00038354877220818915,7.980532793237003,2.2372150673851685
ind_dinov3,AngledReachKetchupTask,5,0,0.0,74.0,0.0,0.09333336750494395,0.019817444569418387,34.796967940475916,49.938365884834944
ind_vjepa,AngledReachCartoonTask,5,0,0.0,74.0,0.0,0.26509050997213984,0.05136057312116289,32.441356773701166,1.4208390549289334
ind_vjepa,AngledReachDrillTask,5,0,0.0,74.0,0.0,0.08197776266304606,0.06673767813255194,95.50794560454604,0.6763891105563131
ind_vjepa,AngledReachKetchupTask,5,0,0.0,74.0,0.0,0.05992323944015745,0.0033866496982251928,101.87014372855862,0.8222005925041821
right_dinov3,AngledReachCartoonTask,5,0,0.0,74.0,0.0,0.09240799137584546,0.023117927114892464,13.732078293326344,1.6525016729721973
right_dinov3,AngledReachDrillTask,5,0,0.0,74.0,0.0,0.047063886086310354,0.005560294958449227,30.623209278077972,3.2055599051023176
right_dinov3,AngledReachKetchupTask,5,0,0.0,74.0,0.0,0.0723271726311764,0.005504317435106064,101.53544107324991,1.594336740516892
right_vjepa,AngledReachCartoonTask,5,0,0.0,74.0,0.0,0.2800452209946664,0.11462472724051499,43.200976573120464,25.69719374870544
right_vjepa,AngledReachDrillTask,5,0,0.0,74.0,0.0,0.07926709842371463,0.00905406054431165,92.01942757455842,6.301319548251734
right_vjepa,AngledReachKetchupTask,5,0,0.0,74.0,0.0,0.16039283497562767,0.08122281170022598,77.16622755939234,10.270089408339445
wrist_dinov3,AngledReachCartoonTask,5,4,0.8,50.4,13.520355024924458,0.11091395088239467,0.13925388449780493,12.295301423813982,1.484278816317568
wrist_dinov3,AngledReachDrillTask,5,5,1.0,45.6,3.0495901363953815,0.0473544477672264,0.002231436165925444,13.916339969110842,0.6171411735441196
wrist_dinov3,AngledReachKetchupTask,5,3,0.6,53.8,18.458060569843195,0.12821257188176902,0.10972808948545193,49.302774456839416,54.57450741633093
wrist_vjepa,AngledReachCartoonTask,5,0,0.0,74.0,0.0,0.28662508750002447,0.03891739363066761,31.95216809027657,5.821746376232493
wrist_vjepa,AngledReachDrillTask,5,0,0.0,74.0,0.0,0.29518086795768966,0.08326108653510124,90.0606985901311,2.29196213022923
wrist_vjepa,AngledReachKetchupTask,5,0,0.0,74.0,0.0,0.37011802536812,0.007186857804515443,156.39322621902755,4.87225435935964
